nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
1652.5088148571203,1653.1104816255117,1691.0622802007772,1660.7809048607237,1690.734694344657,1651.164784749349,1713.9171985444568,1629.1087641034806,1690.2262275332498,1636.6189190092546,1663.9128933861148,1692.3414288475408,1745.6495564778645,1615.9851130530958,1741.4640157790418,1601.9937220982151,1774.670602707637,727.1501713707335,721.2164953322641,726.4149351574132,727.8233241126654,725.5225076221286,750.7545149666926,751.814560844785,794.2717328752792,778.0987984793528,784.2985273088725,793.1303525652204,852.5241492135186,845.7314649309433,875.7626782371888,876.5941619873042,953.2143322172623,938.7486514136906
1652.9403446742476,1653.9901286533907,1690.954125540598,1661.2434605189733,1691.0110451834548,1650.6983697073802,1714.1766629900253,1629.739624568394,1689.8404105050229,1635.8689951215476,1663.833316258022,1693.99774496896,1745.1368244716095,1617.2294600350524,1742.7281864711224,1602.564430236817,1774.7463400704535,727.5791222708567,722.1642821175716,726.2636805943087,728.015016283308,724.7933344159809,750.7981316702709,751.7638844081338,794.7536479404996,778.1032812935966,787.205726623535,794.1683349609374,852.80655343192,845.8414709908624,876.0516738891605,877.5250255039757,953.6324266706198,938.651829310826
1653.2969458443788,1654.7855693272188,1690.8831253051767,1661.5221470424106,1691.1648919241777,1650.5114059448242,1714.352823529925,1630.47463117327,1689.104073660715,1635.3433418273933,1663.367299761091,1695.4752022879472,1744.8975601196282,1618.399017333985,1743.6643971034466,1603.056628635952,1774.8434361049121,727.8991116115027,722.8039174761096,726.0606427873889,728.1429377964566,724.2748707362585,750.8292743137907,751.6654156276162,794.9484329223634,778.8796027047295,789.1757736206055,794.646380833217,852.9571238926482,845.9908806937084,876.4017530168809,877.9443719046454,953.8261391775952,938.5955766950336
1653.5786183675143,1655.4968036469973,1690.8492794945141,1661.6169644310373,1691.1962345668262,1650.6038934616827,1714.4456801641568,1631.3137839181095,1688.0172170003268,1635.0419591267917,1662.514843895323,1696.773800804503,1744.9317634219228,1619.4937849498942,1744.2726476760151,1603.4703172956206,1774.9618908110133,728.1101393926717,723.1354014078781,725.8058217366543,728.2070886521119,723.9671165829619,750.8479428972523,751.5191545032326,794.8560878208712,780.4277627127517,790.2086683000844,794.5644901820598,852.9758605957038,846.1796940394818,876.8129156203504,877.8522011893143,953.795469738189,938.579893566314
1653.8260345458998,1656.1958196730855,1690.8579341343484,1661.5579841250478,1691.0098971412308,1650.400788806735,1714.506208147323,1632.5668632870643,1685.7269795735692,1635.1129466465554,1660.580222720193,1698.5510341099343,1745.3500845772894,1620.3401020595018,1744.681036086311,1603.8068517049167,1775.0720796130965,727.7339274088547,722.4307221912209,725.3931677682065,728.2294013613752,723.7510354178298,750.8710672287721,751.3053527105428,794.3044244675416,784.402911958241,789.7171739850733,793.5931156703411,853.7068699428021,846.5304819742845,877.1564476376495,876.8786824544277,953.1976027715781,938.3895801362544
1654.1413363502152,1656.8554687500014,1691.144220261348,1661.273133777438,1691.1611262730203,1651.1606532505593,1714.3749549502431,1633.0995734078556,1685.2942701067254,1634.8525557745083,1659.8343353271498,1699.1212034679609,1746.197337559293,1621.6003276280007,1744.3523174467555,1604.1406678699325,1775.147816975913,728.5453400384818,722.8611875261585,725.1593642461874,727.9971455165323,724.0662932623006,750.9970866612032,751.0590787615101,794.1660221644817,783.4824538457967,789.1555633544929,792.8889646984288,853.1542467389795,846.5895981561578,877.8241831461596,876.430235363189,952.8354434058788,938.4068327404211
1654.3823060535262,1657.336050124397,1691.2803635370178,1661.3138754708439,1690.687840053015,1652.0110844203416,1714.3660132998525,1632.5947915940071,1686.6547433762337,1636.0308619907937,1659.3677135649195,1699.350258236841,1746.4952276320698,1622.6253502255406,1744.5302196684352,1604.1508934384315,1775.1857488723044,728.6440836588547,723.326650347029,724.2066029139933,727.6857020060227,724.2406579880493,751.2337156023304,750.9207547505703,794.5101674397793,780.0965721493682,787.7968909853987,792.7073088146398,851.4805900937042,846.5682707287024,878.710029965356,876.3864143008285,952.6794491722478,938.5387733096177
1654.646169753303,1657.3591257731132,1691.3207898821163,1661.5520942324697,1690.6734379359668,1653.4860752650684,1714.4191923595624,1632.84122212728,1686.8267437162867,1636.4054351080044,1659.6909702845996,1699.8764764694954,1747.0283595493875,1623.2417391822464,1744.4986448742109,1603.956335521881,1775.0728076753176,728.9106154668905,723.6950850713827,724.3559708368216,727.9338480631516,724.6450460524793,751.1681518554693,751.1647625877749,794.6873154413139,780.7411411830363,787.9019622802741,793.0544669741682,850.6782393682578,846.2386296590175,879.23541041783,875.8957795642679,953.3835391090037,938.2560264950714
1654.934991745723,1657.1012071881987,1691.6652701241642,1661.682029360818,1691.4524928501687,1654.251622517905,1714.4948156447651,1632.3331273396823,1688.8592184157612,1637.309597560339,1661.1938469296424,1700.8363611130503,1747.6119864327582,1623.7603930518753,1744.470334007628,1603.6070186070046,1774.6861921037962,729.091893513998,724.0440266927089,723.4887851533441,728.544307890393,724.8059677850638,751.1974854242239,751.2897620428182,795.342126028879,777.4897824242008,789.1167224702388,793.5232405889608,851.552338373094,846.0036265055346,879.7431240990055,875.5571172805066,954.1031959170394,937.6766996837805
1654.8861131213973,1656.8627867925748,1691.2194591703883,1661.5261688232436,1691.2866596040285,1654.762082781112,1714.3289446149565,1632.3218144008106,1691.0318701607855,1638.0713537307026,1662.7541678292423,1701.5786539713554,1748.0972515287867,1623.969472612655,1744.4533938453324,1603.4468638102226,1774.6597362699977,728.707445962089,723.5258908952992,723.5259853544695,728.4492485409697,724.9573373340431,751.4545451572969,751.548200334822,796.392434983027,771.0858939034604,789.6206178211037,794.1716704595663,852.1225985572459,845.858340672085,879.6017841157466,875.3098028273816,954.506391252791,937.434885660808
